通し番号	章	章内の通番	英単語	品詞	訳
1	U1	1	here	副	ここに
2	U1	2	all	代	すべて
3	U1	3	about	前	~について、約~
4	U1	4	hello	間	こんにちは、〈電話で〉もしもし
5	U1	5	this	代	これ
6	U1	6	rice ball	名	おにぎり
7	U1	7	year	名	年、歳
8	U1	8	old	形	古い、〈年齢が〉~歳の
9	U1	9	live	動	住んでいる
10	U1	10	season	名	季節
11	U1	11	fall	名	秋
12	U1	12	thing	名	もの、こと
13	U1	13	firework	名	花火
14	U1	14	trumpet	名	トランペット
15	U1	15	Here we go!	句	さあ行こう。
16	U1	16	~ year(s) old	句	~歳
17	U1	17	lost	形	道に迷った
18	U1	18	a	冠	ある、1つの
19	U1	19	student	名	生徒、学生
20	U1	20	there	副	そこで[に]
21	U1	21	meet	動	会う
22	U1	22	call	動	呼ぶ、電話をかける
23	U1	23	am	動	~である、~にいる[ある]
24	U1	24	Thanks.	句	ありがとう。
25	U1	25	Call me ~.	句	私を〜と呼んでください。
26	U1	26	I'm	短	I amの短縮形
27	U1	27	Ms.	名	〈女性の姓・姓名の前で〉~さん
28	U1	28	Japan	名	日本
29	U1	29	South Africa	名	南アフリカ
30	U1	30	from	前	~からの、~出身の
31	U1	31	I'm from ~.	句	私は〜出身です。
32	U1	32	look	動	目を向ける
33	U1	33	beautiful	形	美しい
34	U1	34	why	副	なぜ
35	U1	35	not	副	~ない
36	U1	36	don't	短	do not の短縮形
37	U1	37	very	副	とても、〈否定文で〉あまり
38	U1	38	much	副	たくさん、〈否定文で〉あまり
39	U1	39	winter	名	冬
40	U1	40	How about ~?	句	~はどうですか。
41	U1	41	not ~ very much	句	そんなに~でない
42	U1	42	class	名	組、授業
43	U1	43	New York	名	ニューヨーク
44	U1	44	swim	動	泳ぐ
45	U1	45	drum	名	太鼓、ドラム
46	U1	46	but	接	しかし
47	U1	47	cool	形	かっこいい、涼しい
48	U1	48	cannot	否	canの否定形
49	U1	49	can't	短	cannotの短縮形
50	U1	50	flute	名	フルート
51	U1	51	rugby	名	ラグビー
52	U1	52	sax	名	サックス
