通し番号	章	章内の通番	英単語	品詞	訳
308	U8	1	ready	形	用意ができた
309	U8	2	get ready	句	用意をする
310	U8	3	everything	代	すべてのもの[こと]
311	U8	4	album	名	アルバム
312	U8	5	kitchen	名	台所
313	U8	6	later	副	あとで
314	U8	7	how's	短	how is の短縮形
315	U8	8	we're	短	we are の短縮形
316	U8	9	stand	動	立つ、立っている
317	U8	10	That's right.	句	その通りです。
318	U8	11	guy	名	奴, <複数形で>あなたたち
319	U8	12	far	副	遠くに
320	U8	13	decorate	動	飾る
321	U8	14	pretty	形	きれいな、かわいい
322	U8	15	put	動	置く、入れる、つける
323	U8	16	decoration	名	飾りつけ
324	U8	17	put up ~	句	〜を取りつける、設置する
325	U8	18	message	名	メッセージ
326	U8	19	surprise	名	驚かせること
327	U8	20	inside	副	内側に
328	U8	21	have no idea	句	全然わからない
329	U8	22	so much	句	とても
330	U8	23	last	形	最後の、この前の
331	U8	24	then	副	そのとき、あのとき
332	U8	25	program	名	番組
333	U8	26	tonight	副	今夜
334	U8	27	story	名	物語
335	U8	28	last night	句	昨夜
336	AG6	1	cookie	名	クッキー
337	R2	1	lion	名	ライオン
338	R2	2	mouse	名	ねずみ
339	R2	3	back	名	後ろ、背中
340	R2	4	catch	動	捕まえる
341	R2	5	caught	■	catchの過去形
342	R2	6	someday	副	いつの日か
343	R2	7	jungle	名	ジャングル
344	R2	8	promise	動	約束する
345	R2	9	may	助	〜してよい
346	R2	10	one day	句	ある日
347	R2	11	climb up	句	よじ登る
348	R2	12	look delicious	句	おいしそうだ
349	R2	13	hunter	名	猟師
350	R2	14	roar	動	ほえる、轟く
351	R2	15	heard	■	hearの過去形
352	R2	16	cry	名	鳴き声
353	R2	17	chew	動	噛む
354	R2	18	got	■	getの過去形
355	R2	19	away	副	向こうへ
356	R2	20	keep	動	保つ、守る
357	R2	21	kept	■	keepの過去形
358	R2	22	true	形	本当の
359	R2	23	chew on ~	句	〜を噛む、〜をかじる
360	R2	24	get away	句	逃げ出す
361	R2	25	keep one's promise	句	約束を守る
362	YCDI3	1	topic	名	話題
363	YCDI3	2	open	形	開いた
364	YCDI3	3	anyone	代	だれでも、だれか、だれも
