通し番号	章	章内の通番	英単語	品詞	訳
230	DL1	1	stapler	名	ホチキス
231	DL1	2	desk	名	机
232	DL1	3	eraser	名	消しゴム
233	DL1	4	bag	名	かばん
234	DL1	5	by	前	~のそばに
235	DL1	6	ruler	名	定規
236	DL1	7	under	前	~の下に
237	DL1	8	chair	名	いす
238	DL1	9	whose	代	だれの
239	DL1	10	case	名	入れもの
240	DL1	11	yours	代	あなた(たち)のもの
241	DL1	12	mine	代	私のもの
242	DL1	13	any	形	〈疑問文で〉何か、〈否定文で〉何も
243	DL1	14	idea	名	考え、案
244	DL1	15	Whose ~?	句	だれの〜ですか。
245	DL1	16	It's mine.	句	私のものです。
246	AG2	1	us	代	私たちを[に]
247	AG2	2	ours	代	私たちのもの
248	AG2	3	hers	代	彼女のもの
249	AG2	4	its	代	それの
250	AG2	5	their	代	彼らの、彼女らの、それらの
251	AG2	6	them	代	彼(女)らを[に]、それらを[に]
252	AG2	7	theirs	代	彼らのもの、彼女らのもの、それらのもの
253	AG2	8	these	代	これら
