通し番号	章	章内の通番	英単語	品詞	訳
1	U5	1	cafeteria	名	学食
2	U5	2	between	前	〜の間に[で]
3	U5	3	after school	句	放課後
4	U5	4	face	名	顔
5	U5	5	camera	名	カメラ
6	U5	6	now	副	今
7	U5	7	know	動	知っている
8	U5	8	life	名	生活, 人生
9	U5	9	sure	副	もちろん
10	U5	10	begin	動	始める、始まる
11	U5	11	um	間	うーん、あのう
12	U5	12	shy	形	恥ずかしがりの
13	U5	13	anything	代	何でも
14	U5	14	turn on ~	句	〈電源を〉入れる
15	U5	15	where	副	どこで[に]
16	U5	16	ethnic	形	民族の
17	U5	17	diversity	名	多様性
18	U5	18	gate	名	門
19	U5	19	lab	名	実験室, 研究所
20	U5	20	room	名	部屋
21	U5	21	lunch	名	昼食
22	U5	22	choose	動	選ぶ
23	U5	23	dish	名	皿, 料理
24	U5	24	pizza	名	ピザ
25	U5	25	be famous for ~	句	〜で有名である
26	U5	26	where's	短	where is の短縮形
27	U5	27	nurse	名	看護師
28	U5	28	office	名	仕事部屋, オフィス
29	U5	29	stair	名	<複数形で>階段
30	U5	30	entrance	名	入り口、玄関
31	U5	31	next	形	次の、隣の
32	U5	32	near	前	〜の近くに
33	U5	33	cooking	名	料理
34	U5	34	between ~ and …	句	〜と…の間に
35	U5	35	next to ~	句	〜の隣に
36	U5	36	some	形	いくつかの、いくらかの
37	U5	37	trophy	名	戦勝記念品
38	U5	38	tennis	名	テニス
39	U5	39	show	動	見せる
40	U5	40	photo	名	写真
41	U5	41	wow	間	わあ
42	U5	42	wheelchair	名	車いす
43	U5	43	match	名	試合
44	U5	44	luck	名	幸運
45	U5	45	when's	短	when is の短縮形
46	U5	46	game	名	ゲーム、試合
47	U5	47	diary	名	日記
48	U5	48	morning	名	午前, 朝
49	U5	49	afternoon	名	午後
50	U5	50	evening	名	夕方, 晩
51	U5	51	before	前	〈時を表して〉〜の前に
52	U5	52	bath	名	入浴
53	U5	53	dinner	名	夕食
54	U5	54	write in one's diary	句	日記をつける
55	U5	55	take a bath	句	ふろに入る
56	U5	56	go to bed	句	寝る
57	U5	57	Sunday	名	日曜日
58	U5	58	a.m.	副	午前
59	U5	59	p.m.	副	午後
60	U5	60	Chinatown	名	中華街
61	U5	61	sunset	名	日没、夕焼け
62	U5	62	noon	名	正午
63	U5	63	tour	名	遠征、ツアー
64	U5	64	place	名	場所
65	U5	65	time	名	時間, 時刻
66	U5	66	from ~ to …	句	〜から…まで
67	U5	67	at noon	句	正午に
68	U5	68	after that	句	そのあと
69	U5	69	miss	動	逃す
70	DL2	1	tomato	名	トマト
71	DL2	2	basil	名	バジル
72	DL2	3	Italy	名	イタリア
73	DL2	4	chicken	名	鶏肉
74	DL2	5	beef	名	牛肉
75	DL2	6	Vietnam	名	ベトナム
76	DL2	7	vegetable	名	野菜
77	DL2	8	India	名	インド
78	DL2	9	vendor	名	街頭で物を売る人
79	DL2	10	which	形	どちらの、どの
80	DL2	11	would	助	willの過去形
81	DL2	12	please	副	どうぞ
82	DL2	13	thousand	名	1,000
83	DL2	14	yen	名	<通貨の単位>円
84	DL2	15	Can I have ~?	句	〜をもらえますか。
85	DL2	16	Which would you like, ~ or …?	句	〜と…のどちらがよろしいですか。
86	DL2	17	I'd like ~, please.	句	〜がほしいです。
87	DL2	18	How much ~?	句	〜はいくらですか。
88	DL2	19	I'd	短	I wouldの短縮形
89	DL2	20	pie	名	パイ
90	DL2	21	cherry	名	桜、さくらんぼ
91	DL2	22	piece	名	ひとかけら
92	DL2	23	ice cream	名	アイスクリーム
93	DL2	24	coconut	名	ココナッツ
94	DL2	25	scoop	名	すくうこと、スコップ
95	DL2	26	tea	名	お茶、紅茶
96	DL2	27	total	名	合計
97	DL2	28	How many ~?	句	いくつの〜ですか。
98	DL2	29	in total	句	全体で
