通し番号	章	章内の通番	英単語	品詞	訳
208	U7	1	did	助	doの過去形
209	U7	2	sunrise	名	日の出
210	U7	3	calligraphy	名	書道
211	U7	4	bell	名	鐘
212	U7	5	kite	名	凧
213	U7	6	charm	名	お守り、飾り
214	U7	7	buy	動	買う
215	U7	8	bought	■	buyの過去形
216	U7	9	temple	名	寺
217	U7	10	eve	名	<祝祭日などの>前夜
218	U7	11	ring	動	鳴らす、鳴る
219	U7	12	rang	■	ringの過去形
220	U7	13	TV	名	テレビ
221	U7	14	didn't	短	did not の短縮形
222	U7	15	clean	動	そうじする、きれいにする
223	U7	16	house	名	家
224	U7	17	saw	■	seeの過去形
225	U7	18	ate	■	eatの過去形
226	U7	19	flew	■	flyの過去形
227	U7	20	shopping	名	買い物
228	U7	21	yesterday	副	昨日
229	U7	22	took	■	takeの過去形
230	U7	23	part	名	部分
231	U7	24	volunteer	名	志願する人
232	U7	25	take part in ~	句	〜に参加する
233	U7	26	clean up ~	句	〜をそうじする、片づける
234	U7	27	traditional	形	伝統的な
235	U7	28	custom	名	慣習, 習慣
236	U7	29	because	接	なぜなら〜だから
237	U7	30	sign	名	しるし、前兆, 看板
238	U7	31	tell	動	伝える、話す
239	U7	32	told	■	tellの過去形
240	U7	33	interesting	形	おもしろい
241	U7	34	bad	形	悪い
242	U7	35	poor	形	貧しい、乏しい
243	U7	36	by the way	句	ところで
244	U7	37	drink	動	飲む
245	U7	38	comedy	名	喜劇
246	U7	39	stay up	句	寝ずに起きている
247	U7	40	lantern	名	手提げランプ、ちょうちん
248	U7	41	wish	名	願い
249	U7	42	secret	名	秘密
250	U7	43	chat	名	おしゃべり
251	U7	44	still	副	まだ、今も
252	U7	45	fever	名	<正常より高い>熱
253	U7	46	hear	動	耳にする
254	U7	47	drank	■	drinkの過去形
255	U7	48	lucky	形	幸運な
256	U7	49	soon	副	すぐに
257	U7	50	have a fever	句	熱がある
258	U7	51	take a photo	句	写真を撮る
259	U7	52	get well	句	元気になる
260	U7	53	hope	動	望む
261	U7	54	present	名	贈り物
262	U7	55	were	■	areの過去形
263	U7	56	people	名	人々
264	U7	57	atmosphere	名	雰囲気
265	U7	58	Mrs.	名	<結婚している女性に>〜さん、〜先生
266	U7	59	east	名	東
267	U7	60	U.S.A.	名	アメリカ合衆国
268	U7	61	air mail	名	航空郵便, 航空便
269	U7	62	Thank you for ~.	句	〜をありがとうございます。
270	U7	63	this year	句	今年
271	U7	64	wonderful	形	すばらしい
272	U7	65	delicious	形	とてもおいしい
273	U7	66	had	■	haveの過去形
274	U7	67	party	名	パーティー
275	U7	68	bake	動	焼く
276	U7	69	marathon	名	マラソン
277	U7	70	exciting	形	わくわくさせるような
278	U7	71	for the first time	句	初めて
279	U7	72	celebrate	動	祝う
280	U7	73	different	形	ちがった、いろいろな
281	U7	74	city	名	都市
282	U7	75	boat	名	小舟
283	U7	76	tradition	名	伝統
284	U7	77	best	形	最高の
285	U7	78	lots of ~	句	たくさんの〜
286	U7	79	Best wishes,	句	〈手紙の結びに〉ご多幸を祈って。
287	DL5	1	workshop	名	研修会
288	DL5	2	unique	形	唯一の、独特の
289	DL5	3	card	名	カード
290	DL5	4	greeting card	名	挨拶状
291	DL5	5	Saturday	名	土曜日
292	DL5	6	stationery	名	文房具
293	DL5	7	shop	名	店
294	DL5	8	fee	名	料金
295	DL5	9	person	名	人
296	DL5	10	age	名	年齢
297	DL5	11	% = percent	名	パーセント
298	DL5	12	off	副	割り引いて
299	DL5	13	only	副	ただ〜だけ
300	DL5	14	bring	動	持ってくる
301	DL5	15	own	形	自分自身の
302	DL5	16	scissor	名	<複数形で>はさみ
303	DL5	17	yourself	代	あなた自身
304	DL5	18	more	形	より多い
305	DL5	19	information	名	情報
306	DL5	20	cost	動	<費用が>かかる
307	DL5	21	up to ~	句	(最高)〜まで
