通し番号	章	章内の通番	英単語	品詞	訳
176	U4	1	junior high school	名	中学校
177	U4	2	teacher	名	先生
178	U4	3	science	名	科学、理科
179	U4	4	Japanese	名	日本語、国語
180	U4	5	social studies	名	<単数扱い> 社会(科)
181	U4	6	P.E.	名	体育
182	U4	7	art	名	芸術、美術
183	U4	8	she	代	彼女は[が]
184	U4	9	he	代	彼は[が]
185	U4	10	strict	形	厳格な
186	U4	11	popular	形	人気のある
187	U4	12	his	代	彼の
188	U4	13	she's	短	she is の短縮形
189	U4	14	he's	短	he is の短縮形
190	U4	15	funny	形	おかしな、変な
191	U4	16	famous	形	有名な
192	U4	17	main	形	主要な
193	U4	18	character	名	登場人物
194	U4	19	strong	形	強い
195	U4	20	who	代	だれ
196	U4	21	maybe	副	もしかしたら
197	U4	22	player	名	競技者、選手
198	U4	23	him	代	彼を[に]
199	U4	24	ask	動	たずねる
200	U4	25	who's	短	who is の短縮形
201	U4	26	isn't	短	is not の短縮形
202	U4	27	actor	名	俳優
203	U4	28	singer	名	歌手
204	U4	29	artist	名	芸術家
205	U4	30	astronaut	名	宇宙飛行士
206	U4	31	dancer	名	踊り手
207	U4	32	athlete	名	運動選手、運動が好きな人
208	U4	33	musician	名	音楽家
209	U4	34	tough	形	たくましい、〈状況が〉きつい
210	U4	35	her	代	彼女の
211	U4	36	powerful	形	力強い
212	U4	37	front	名	(最)前部、正面
213	U4	38	floor	名	床、〈建物の〉階
214	U4	39	plan	名	計画、見取り図
215	U4	40	building	名	建物
216	U4	41	classroom	名	教室
217	U4	42	over	副	越えて、向こう側へ
218	U4	43	classmate	名	同級生
219	U4	44	neighbor	名	隣人、近所の人
220	U4	45	in front of ~	句	~の前に[で]
221	U4	46	over here	句	こちらに
222	U4	47	hospital	名	病院
223	U4	48	gym	名	体育館
224	U4	49	high school	名	高校
225	U4	50	restaurant	名	レストラン
226	U4	51	guess	動	推測する
227	U4	52	small	形	小さい
228	U4	53	introduce	動	導入する、紹介する
229	U4	54	be good at ~	句	~が上手である
