通し番号	章	章内の通番	英単語	品詞	訳
53	U2	1	school	名	学校
54	U2	2	after	前	~のあとに
55	U2	3	brass band	名	吹奏楽部、ブラスバンド
56	U2	4	new	形	新しい
57	U2	5	yes	副	はい
58	U2	6	come	動	来る, 〈聞き手のほうへ〉行く
59	U2	7	Mr.	名	〈男性の姓・姓名の前で〉~さん, ~先生
60	U2	8	come in	句	入ってくる
61	U2	9	here's	短	here is の短縮形
62	U2	10	no	副	いいえ
63	U2	11	interested	形	興味を持っている
64	U2	12	of	前	~の
65	U2	13	anime	名	〈日本の〉アニメ
66	U2	14	be interested in ~	句	~に興味を持っている
67	U2	15	very much	句	とても
68	U2	16	an	冠	〈母音で始まる語の前で〉ある、1つの
69	U2	17	instrument	名	器具、楽器
70	U2	18	little	名	わずかの量
71	U2	19	usually	副	ふだん、いつもは、たいてい
72	U2	20	practice	動	練習する
73	U2	21	on	前	~の上に、〈日時について〉~に
74	U2	22	Monday	名	月曜日
75	U2	23	Wednesday	名	水曜日
76	U2	24	Friday	名	金曜日
77	U2	25	a little	句	少し
78	U2	26	listen	動	耳を傾ける
79	U2	27	radio	名	ラジオ
80	U2	28	read	動	読む
81	U2	29	magazine	名	雑誌
82	U2	30	always	副	いつも
83	U2	31	often	副	よく
84	U2	32	sometimes	副	ときどき
85	U2	33	never	副	決して~ない
86	U2	34	free	形	空いている、自由な
87	U2	35	night	名	夜
88	U2	36	listen to ~	句	~に耳を傾ける、~を聞く
89	U2	37	drama	名	演劇
90	U2	38	oh	間	ああ
91	U2	39	tongue twister	名	早口ことば
92	U2	40	say	動	言う
93	U2	41	repeat	動	くり返す
94	U2	42	what's	短	what is の短縮形
95	U2	43	it's	短	it isの短縮形
96	U2	44	write	動	書く
97	U2	45	ride	動	乗る
98	U2	46	unicycle	名	一輪車
99	U2	47	curry	名	カレー
100	U2	48	rice	名	米
101	U2	49	with	前	~といっしょに
102	U2	50	father	名	父親
103	U2	51	that's	短	that is の短縮形
104	U2	52	team	名	チーム
