通し番号	章	章内の通番	英単語	品詞	訳
105	U3	1	climb	動	登る
106	U3	2	camping	名	キャンプ(すること)
107	U3	3	homework	名	宿題
108	U3	4	visit	動	<場所を>訪れる、〈人を〉訪ねる
109	U3	5	grandparent	名	祖父、祖母
110	U3	6	library	名	図書館
111	U3	7	beach	名	浜辺
112	U3	8	try	動	〈試しに〉やってみる、食べてみる
113	U3	9	yo-yo	名	ヨーヨー
114	U3	10	festival	名	祭り
115	U3	11	eat	動	食べる
116	U3	12	watermelon	名	スイカ
117	U3	13	do one's homework	句	宿題をする
118	U3	14	during	前	〈時期を表して〉~の間に
119	U3	15	family	名	家族
120	U3	16	just	副	ただ〜だけ
121	U3	17	boring	形	退屈させるような、つまらない
122	U3	18	also	副	~もまた
123	U3	19	every	形	どの〜も、毎~
124	U3	20	sound	動	~に聞こえる
125	U3	21	every year	句	毎年
126	U3	22	get	動	手に入れる、〈~の状態に〉なる
127	U3	23	late	副	遅く
128	U3	24	have	動	持っている
129	U3	25	lesson	名	授業
130	U3	26	walk	動	歩く、歩かせる
131	U3	27	video	名	動画
132	U3	28	weekend	名	週末
133	U3	29	stay	動	滞在する
134	U3	30	home	副	家に[へ]
135	U3	31	grandfather	名	祖父
136	U3	32	get up	句	起きる
137	U3	33	at	前	〈場所や時を表して〉~に[で]
138	U3	34	really	副	本当に
139	U3	35	course	名	進む道、成り行き
140	U3	36	of course	句	もちろん
141	U3	37	use	動	使う
142	U3	38	computer	名	コンピューター
143	U3	39	those	代	それら、あれら
144	U3	40	balloon	名	ゴム風船
145	U3	41	yeah	副	うん、ああ
146	U3	42	they	代	彼らは、彼女らは、それらは
147	U3	43	heavy	形	重い
148	U3	44	OK	副	わかった、〈話題転換で〉それでは
149	U3	45	pro	名	熟練者、プロ
150	U3	46	they're	短	they are の短縮形
151	U3	47	shaved ice	名	かき氷
152	U3	48	take	動	取る、〈写真を〉撮る
153	U3	49	goldfish scooping	名	金魚すくい
154	U3	50	love	動	愛する
155	U3	51	take a picture	句	写真を撮る
